,show_name,country,num_episodes,aired_on,original_network,rating,current_overall_rank,lifetime_popularity_rank,watchers
0,A Korean Odyssey,South Korea,16,"Friday, Saturday",tvN,8.9,33,1,111706
1,A Korean Odyssey,South Korea,16,"Friday, Saturday",jTBC,8.7,89,2,100950
2,Descendants of the Sun,South Korea,16,"Wednesday, Thursday",KBS2,8.7,77,3,96318
3,Boys Over Flowers,South Korea,25,"Monday, Tuesday",KBS2,7.7,2249,4,94228
4,W,South Korea,16,"Wednesday, Thursday",MBC,8.5,201,5,92121
5,You Who Came from the Stars,South Korea,21,"Wednesday, Thursday",SBS,8.6,112,6,91360
6,Weightlifting Fairy Kim Bok Joo,South Korea,16,"Wednesday, Thursday",MBC,8.8,40,7,91330
7,The Heirs,South Korea,20,"Wednesday, Thursday",SBS,7.5,2817,8,90467
8,Pinocchio,South Korea,20,"Wednesday, Thursday",SBS,8.3,273,9,82893
9,Healer,South Korea,20,"Monday, Tuesday",KBS2,8.9,25,10,34523
10,What's Wrong with Secretary Kim,South Korea,16,"Wednesday, Thursday",tvN,8.5,196,11,79953
11,While You Were Sleeping,South Korea,32,"Wednesday, Thursday",SBS,8.7,61,12,77814
12,Moon Lovers: Scarlet Heart Ryeo,South Korea,20,"Monday, Tuesday",SBS,8.6,95,13,74582
13,Secret Garden,South Korea,20,"Saturday, Sunday",SBS,8.3,435,14,71519
14,"Kill Me, Heal Me",South Korea,20,"Wednesday, Thursday",MBC,8.7,56,15,70018
15,You're Beautiful,South Korea,16,"Wednesday, Thursday",SBS,8.1,903,16,68224
16,The Legend of the Blue Sea,South Korea,20,"Wednesday, Thursday",SBS,8.4,342,17,67816
17,Crash Landing on You,South Korea,16,"Sunday, Saturday","tvN, Netflix",8.9,2,18,66517
18,Coffee Prince,South Korea,17,"Monday, Tuesday",MBC,8.3,480,19,65330
19,I Hear Your Voice,South Korea,18,"Wednesday, Thursday",SBS,8.3,128,20,64214
20,City Hunter,South Korea,20,"Wednesday, Thursday",SBS,8.4,307,21,64186
21,I'm Not a Robot,South Korea,32,"Wednesday, Thursday",MBC,8.5,229,22,63723
22,She Was Pretty,South Korea,16,"Wednesday, Thursday",MBC,8.1,752,23,63585
23,Cheese in the Trap,South Korea,16,"Monday, Tuesday",tvN,7.6,2383,24,63200
24,Hotel del Luna,South Korea,16,"Saturday, Sunday",tvN,8.7,79,25,63178
25,Fight For My Way,South Korea,16,"Monday, Tuesday",KBS2,8.5,198,26,63140
26,It's Okay to Not Be Okay,South Korea,16,"Saturday, Sunday","tvN, Netflix",9.1,9,27,62023
27,The Master's Sun,South Korea,17,"Wednesday, Thursday",SBS,8.6,124,28,60671
28,Suspicious Partner,South Korea,40,"Wednesday, Thursday",SBS,8.3,441,29,60007
29,"It's Okay, That's Love",South Korea,16,"Wednesday, Thursday",SBS,8.7,92,30,58961
